competencia,ipca_mensal,fator,indice_acum,deflator
2018-01,0.29,1.0029,1.0029,1.4400473769328803
2018-02,0.32,1.0032,1.00610928,1.435453924374881
2018-03,0.09,1.0009,1.0070147783519998,1.4341631775151176
2018-04,0.22,1.0022,1.0092302108643745,1.4310149446369165
2018-05,0.4,1.004,1.0132671317078317,1.4253136898774068
2018-06,1.26,1.0126,1.0260342975673504,1.407578204500698
2018-07,0.33,1.0033,1.0294202107493229,1.4029484745347331
2018-08,-0.09,0.9991,1.0284937325596484,1.4042122655737497
2018-09,0.48,1.0048,1.0334305024759345,1.3975042451968052
2018-10,0.45,1.0045,1.0380809397370765,1.391243648777307
2018-11,-0.21,0.9979,1.0359009697636283,1.394171408735652
2018-12,0.15,1.0015,1.037454821218274,1.392083283809937
2019-01,0.32,1.0032,1.0407746766461723,1.387642826764291
2019-02,0.43,1.0043,1.045250007755751,1.3817015102701298
2019-03,0.75,1.0075,1.0530893828139192,1.3714158910869771
2019-04,0.57,1.0057,1.0590919922959583,1.3636431252729215
2019-05,0.13,1.0013,1.060468811885943,1.361872690774914
2019-06,0.01,1.0001,1.060574858767132,1.3617365171232017
2019-07,0.19,1.0019,1.0625899509987895,1.3591541242870564
2019-08,0.11,1.0011,1.0637587999448883,1.3576606975197845
2019-09,-0.04,0.9996,1.0633332964249105,1.358203979111429
2019-10,0.1,1.001,1.0643966297213352,1.3568471319794495
2019-11,0.51,1.0051,1.069825052532914,1.349962324126405
2019-12,1.15,1.0115,1.0821280406370426,1.334614260134854
2020-01,0.21,1.0021,1.0844005095223803,1.3318174435034964
2020-02,0.25,1.0025,1.0871115107961864,1.3284962029960066
2020-03,0.07,1.0007,1.0878724888537437,1.3275669061616937
2020-04,-0.31,0.9969,1.084500084138297,1.3316951611612935
2020-05,-0.38,0.9962,1.0803789838185711,1.3367749058033465
2020-06,0.26,1.0026,1.0831879691764996,1.333308304212394
2020-07,0.36,1.0036,1.087087445865535,1.328525612009161
2020-08,0.24,1.0024,1.0896964557356124,1.325344784526298
2020-09,0.64,1.0064,1.0966705130523202,1.3169165188059402
2020-10,0.86,1.0086,1.10610187946457,1.3056876053995046
2020-11,0.89,1.0089,1.1159461861918047,1.2941694968772963
2020-12,1.35,1.0135,1.1310114597053942,1.2769309293313236
2021-01,0.25,1.0025,1.1338389883546576,1.2737465629240137
2021-02,0.86,1.0086,1.1435900036545077,1.2628857455126057
2021-03,0.93,1.0093,1.1542253906884945,1.2512491286164722
2021-04,0.31,1.0031,1.157803489399629,1.2473822436611226
2021-05,0.83,1.0083,1.1674132583616459,1.2371141958356864
2021-06,0.53,1.0053,1.1736005486309626,1.2305920579286644
2021-07,0.96,1.0096,1.18486711389782,1.2188907071401192
2021-08,0.87,1.0087,1.195175457788731,1.2083778201052038
2021-09,1.16,1.0116,1.2090394930990802,1.1945213721878252
2021-10,1.25,1.0125,1.2241524867628188,1.1797741947534075
2021-11,0.95,1.0095,1.2357819353870656,1.1686718125343314
2021-12,0.73,1.0073,1.2448031435153912,1.1602023354852886
2022-01,0.54,1.0054,1.2515250804903746,1.153970892664898
2022-02,1.01,1.0101,1.2641654838033274,1.142432326170575
2022-03,1.62,1.0162,1.2846449646409412,1.1242199627736422
2022-04,1.06,1.0106,1.2982622012661351,1.1124282236034455
2022-05,0.47,1.0047,1.304364033612086,1.1072242695366237
2022-06,0.67,1.0067,1.3131032726372869,1.0998552394324266
2022-07,-0.68,0.9932,1.3041741703833531,1.1073854605642637
2022-08,-0.36,0.9964,1.299479143369973,1.1113864517907102
2022-09,-0.29,0.9971,1.2957106538542,1.114618846445402
2022-10,0.59,1.0059,1.30335534671194,1.1080811675568163
2022-11,0.41,1.0041,1.3086991036334588,1.103556585556037
2022-12,0.62,1.0062,1.3168130380759862,1.096756694052909
2023-01,0.53,1.0053,1.323792147177789,1.0909745290489494
2023-02,0.84,1.0084,1.3349120012140825,1.0818866809291443
2023-03,0.71,1.0071,1.3443898764227025,1.0742594389128632
2023-04,0.61,1.0061,1.352590654668881,1.0677461871711194
2023-05,0.23,1.0023,1.3557016131746191,1.0652960063564991
2023-06,-0.08,0.9992,1.3546170518840797,1.066148925496897
2023-07,0.12,1.0012,1.3562425923463406,1.0648710802006562
2023-08,0.23,1.0023,1.3593619503087373,1.0624274969576537
2023-09,0.26,1.0026,1.36289629137954,1.059672348850642
2023-10,0.24,1.0024,1.366167242478851,1.0571352243122925
2023-11,0.28,1.0028,1.3699925107577913,1.0541835104829405
2023-12,0.56,1.0056,1.377664468818035,1.048312957918596
2024-01,0.42,1.0042,1.3834506595870708,1.043928458393344
2024-02,0.83,1.0083,1.3949333000616435,1.0353351764289835
2024-03,0.16,1.0016,1.3971651933417422,1.0336812863707905
2024-04,0.38,1.0038,1.4024744210764408,1.0297681673349175
2024-05,0.46,1.0046,1.4089258034133922,1.0250529238850463
2024-06,0.21,1.0021,1.4118845476005604,1.0229048237551606
2024-07,0.38,1.0038,1.4172497088814426,1.0190325002541945
2024-08,-0.02,0.9998,1.4169662589396663,1.0192363475236994
2024-09,0.44,1.0044,1.4232009104790009,1.014771353568
2024-10,0.56,1.0056,1.431170835577683,1.00912028
2024-11,0.39,1.0039,1.4367524018364364,1.0052
2024-12,0.52,1.0052,1.4442235143259858,1
2025-01,0.16,1.0016,1.4465342719489076,0.998402555910543
2025-02,1.31,1.0131,1.4654838709114384,0.9854926028136836
2025-03,0.56,1.0056,1.4736905805885423,0.9800045771814674
2025-04,0.43,1.0043,1.4800274500850732,0.9758086002006048
2025-05,0.36,1.0036,1.4853555489053796,0.9723082903553256
2025-06,0.28,1.0028,1.4895145444423146,0.969593428754812
2025-07,0.32,1.0032,1.49428099098453,0.9665006267492148
2025-08,0.18,1.0018,1.4969706967683023,0.9647640514565928
2025-09,0.25,1.0025,1.500713123510223,0.9623581560664268
